BOOK,CATEGORY
"What Is JavaScript?
After completing this chapter, you will be able to
Understand JavaScript’s role in a webpage
Create a simple webpage
Create a JavaScript program
Welcome to the world of JavaScript programming. This book provides an introduction to Java Script programming both for the web and for Microsoft Windows 8. Like other books on JavaScript 
programming, this book shows the basics of how to create a program in JavaScript. However, unlike 
other introductory books on JavaScript, this book shows not only how something works but also why 
it works. If you’re looking merely to copy and paste JavaScript code into a webpage there are plenty 
of tutorials on the web to help solve those specific problems.
Beyond the basics of how and why things work as they do with JavaScript, the book also shows 
best practices for JavaScript programming and some of the real-world scenarios you’ll encounter as a 
JavaScript programmer. 
Programming for the web is different than programming in other languages or for other platforms. The JavaScript programs you write will run on the visitor’s computer. This means that when 
programming for the web, you have absolutely no control over the environment within which your 
program will run. 
While JavaScript has evolved over the years, not everyone’s computer has evolved along with 
it. The practical implication is that you need to account for the different computers and different 
situations on which your program might run. Your JavaScript program might find itself running on a 
computer from 1996 with Internet Explorer 5.5 through a dial-up modem just as easily as a shiny new 
computer running Internet Explorer 10 or the latest version of Firefox. Ultimately, this comes down to 
you, the JavaScript programmer, testing your programs in a bunch of different web browsers.
With that short introduction, it’s time to begin looking at JavaScript. The chapter begins with code. 
I’m doing this not to scare you away but to blatantly pander to the side of your brain that learns by 
seeing an example. After this short interlude, the chapter examines where JavaScript fits within the 
landscape of programming for the web and beyond. Then you’ll write your first JavaScript program.",Programming
"What is JavaScript?
Javascript is a dynamic computer programming language. It is lightweight and most 
commonly used as a part of web pages, whose implementations allow client-side 
script to interact with the user and make dynamic pages. It is an interpreted 
programming language with object-oriented capabilities.
JavaScript was first known as LiveScript, but Netscape changed its name to 
JavaScript, possibly because of the excitement being generated by Java. JavaScript 
made its first appearance in Netscape 2.0 in 1995 with the name LiveScript. The 
general-purpose core of the language has been embedded in Netscape, Internet 
Explorer, and other web browsers.
The ECMA-262 Specification defined a standard version of the core JavaScript 
language.
JavaScript is a lightweight, interpreted programming language.
Designed for creating network-centric applications.
Complementary to and integrated with Java.
Complementary to and integrated with HTML.
Open and cross-platform.
Client-Side JavaScript
Client-side JavaScript is the most common form of the language. The script should 
be included in or referenced by an HTML document for the code to be interpreted by 
the browser.
It means that a web page need not be a static HTML, but can include programs that 
interact with the user, control the browser, and dynamically create HTML content.
The JavaScript client-side mechanism provides many advantages over traditional CGI 
server-side scripts. For example, you might use JavaScript to check if the user has 
entered a valid e-mail address in a form field",Programming
"Advantages of JavaScript
The merits of using JavaScript are:
 Less server interaction: You can validate user input before sending the page 
off to the server. This saves server traffic, which means less load on your 
server.
 Immediate feedback to the visitors: They don't have to wait for a page 
reload to see if they have forgotten to enter something.
 Increased interactivity: You can create interfaces that react when the user 
hovers over them with a mouse or activates them via the keyboard.
 Richer interfaces: You can use JavaScript to include such items as drag-and drop components and sliders to give a Rich Interface to your site visitors.",Programming
"WHAT JQUERY CAN DO FOR YOU
As presented in the last section, jQuery makes many tasks easier. Its simplistic, chainable, and comprehensive API has the capability to completely change the way you write JavaScript. With the goals 
of doing more with less code, jQuery really shines in the following areas:
➤ jQuery makes iterating and traversing the DOM much easier via its various built-in methods.
➤ jQuery makes selecting items from the DOM easier via its sophisticated, built-in, and ubiquitous capability to use selectors, just like you would use in CSS.
➤ jQuery makes it easy to add your own custom methods via its simple-to-understand plug-in 
architecture. 
➤ jQuery helps reduce redundancy in navigation and UI functionality, like tabs, CSS, and 
markup-based pop-up dialogs, animations, and transitions, and lots of other things.
Is jQuery the only JavaScript framework? No, certainly not. You can pick from several JavaScript 
frameworks: Yahoo UI, Prototype, SproutCore, Dojo, and so on. I like jQuery because I enjoy its 
simplicity and lack of verbosity. However, among the other frameworks, you’ll fi nd that there is a 
lot of similarity, and each provides its own advantages in terms of unifying Event APIs, providing 
sophisticated selector and traversal implementations, and providing simple interfaces for redundant 
JavaScript-driven UI tasks. Across the entire web, including websites that don’t use any JavaScript 
frameworks, jQuery can be found on as many as half of all websites. So, jQuery defi nitely has the 
benefi t of a ubiquitous, de facto standard. Based on its popularity, you’re extremely likely to run into 
other developers who have experience with and know how to use jQuery",Web development
"Since you’ve picked up a cookbook about jQuery, the authors of this book for the most
part are going to assume that you have a loose idea about what exactly jQuery is and
what it does. Frankly, cookbooks in general are typically written for an audience who
seeks to enhance a foundation of knowledge that has already been established. Thus,
the recipe-solution-discussion format is used to quickly get you solutions to common
problems. However, if you are a jQuery newbie, don’t throw this book against the wall
and curse us just yet. We’ve dedicated this chapter to you.
If you are in need of a review or are jumping into this cookbook with little or no working
knowledge of jQuery, this first chapter alone (the other chapters assume you know the
basics) will aid you in learning the jQuery essentials. Now, realistically, if you have
absolutely zero knowledge of JavaScript and the DOM, you might want to take a step
back and ask yourself whether approaching jQuery without a basic understanding of
the JavaScript core language and its relationship with the DOM is plausible. It would
be my recommendation to study up on the DOM and JavaScript core before approaching jQuery.",Web development
"Today's World Wide Web is a dynamic environment, and its users set a high bar for 
both style and function of sites. To build interesting, interactive sites, developers 
are turning to JavaScript libraries such as jQuery to automate common tasks and 
simplify complicated ones. One reason the jQuery library is a popular choice is its 
ability to assist in a wide range of tasks.
Because jQuery does perform so many different functions, it can seem challenging 
to know where to begin. Yet, there is a coherence and symmetry to the design of 
the library; most of its concepts are borrowed from the structure of HTML and 
Cascading Style Sheets (CSS). Because many web developers have more experience 
with these technologies than with JavaScript, the library's design lends itself to a 
quick start for designers with little programming experience. In fact, in this opening 
chapter we'll write a functioning jQuery program in just three lines of code. On 
the other hand, experienced programmers will also be aided by this conceptual 
consistency, as we'll see in the later, more advanced chapters",Web development
"You probably spend more time in front of a computer than with your signifi cant other. Hence, 
having a nice comfortable seat, a fast computer, and software that accelerates development is 
essential. 
Starting with the basics, we’ll review requirements, different ways to obtain jQuery, and how 
to run it on both client and server, and set up some conventions for the rest of the book, using 
Google’s JavaScript standards.
In this chapter you set up your work environment for developing and debugging jQuery and 
JavaScript code. A major portion of development time goes into debugging, so a good debugger 
isn’t really an option. After reviewing Firebug, Chrome, and IE debuggers a portion of this chapter 
covers debugging JSON, tools for inspecting HTTP headers, and the JSLint code quality tool.
You learn to package your .js fi les for production use, explore tools, and establish some 
coding conventions",Web development
"Most of the services we enjoy on the Web are provided by web database applications. Web-based email, online shopping, forums and bulletin boards, corporate web
sites, and sports and news portals are all database-driven. To build a modern web
site, you need to develop a database application.
This book presents a highly popular, easy, low-cost way to bring together the Web
and databases to build applications. The most popular database management system used in these solutions is MySQL, a very fast and easy-to-use system distributed
under an Open Source license by its manufacturer, MySQL AB. We discuss MySQL
in detail in this book.
With a web server such as Apache (we assume Apache in this book, although the
software discussed here works with other web servers as well) and MySQL, you have
most of what you need to develop a web database application. The key glue you
need is a way for the web server to talk to the database; in other words, a way to
incorporate database operations into web pages. The most popular glue that accomplishes this task is PHP.
PHP is an open source project of the Apache Software Foundation and it’s the most
popular Apache web server add-on module, with around 53% of the Apache HTTP
servers having PHP capabilities.* PHP is particularly suited to web database applications because of its integration tools for the Web and database environments. In particular, the flexibility of embedding scripts in HTML pages permits easy integration
of HTML presentation and code. The database tier integration support is also excellent, with more than 15libraries available to interact with almost all popular database servers. In this book, we present a comprehensive view of PHP along with a
number of powerful extensions provided by a repository known as PEAR",Web development
"PHP began life as a way to manage a small personal website and was imagined and realized
by just one man, Ramsus Lerdorf. Originally dubbed Personal Home Page Tools, PHP quickly
evolved over the years from the basic scripting engine for a personal website into a highly
competitive, extremely robust code engine that is deployed on millions of websites across 
the globe. PHP’s fast, effective engine; its widespread, open-source developer base; and its
platform flexibility have all come together to create one of the world’s most effective online
scripting languages.
Throughout the years PHP has continued to improve on its foundations, providing
increased functionality and scalability. Because of PHP’s standard of listening to the community, fresh functionality is consistently added to every new release, allowing for more versatile
code and upgrades to its already substantial library of built-in methods. For years, people
have been using the PHP 4 series of code to create robust and powerful applications.
There is always room for improvement, however. Although PHP 4 is considered to be an
object-oriented programming (OOP) language, the class functionality found within it was not
entirely as flexible as some developers wanted it to be. Older OOP languages that have had
more time to grow have some strong functionality that PHP simply was not able to roll out in
its PHP 4 releases.
But that was then, and this is now. A very exciting occasion occurred for PHP developers
everywhere on July 13, 2004: PHP released its long-anticipated version 5. Sporting a new
object model powered by the already superb Zend II engine, PHP was ready to bring OOP 
to a new level with this release.
On top of new, more powerful class structures and functionality, PHP 5 has introduced
many exciting features, some of which the community has been clamoring about for ages. 
Say “hello (world)” to proper exception handling; new, simple-to-implement XML support;
more verbose Simple Object Access Protocol (SOAP) functionality for web services; and much,
much more.
This book will provide you with highly versatile recipes for improving and expanding
things with the new PHP 5 release. However, before we dive into that, in this chapter we will
give you a simple overview of what PHP can do, what is new with PHP 5, and how you can
apply these new concepts",Web development
"Why Learn Java? Why not C or C++?
• Java is the most widely taught programming language.
• Java is more popular
• Java is industrial strength used for large systems by large groups of people
• If you know Java learning C++ is easy.
Java is an enormous language. There are over 3700 different classes included in the Java 6 Standard
Edition. We could not begin to scratch the surface of these classes even if we devoted all 2700
minutes of class time that we have in a semester. However Java is very powerful and we will write
some very powerful programs this semester.",Programming
"What makes Ajax unique? Ajax
It works as a stand-alone Web-development tool.
It works the same with all Web browsers.
It uses C++ as its programming language.
It makes data requests asynchronously.",Web development
"jQuery is a fast and concise JavaScript Library created by John Resig in 2006 with a nice
motto: Write less, do more. jQuery simplifies HTML document traversing, event handling,
animating, and Ajax interactions for rapid web development. jQuery is a JavaScript toolkit
designed to simplify various tasks by writing less code. Here is the list of important core
features supported by jQuery:
 DOM manipulation: The jQuery made it easy to select DOM elements, negotiate them
and modifying their content by using cross-browser open source selector engine called
Sizzle.
 Event handling: The jQuery offers an elegant way to capture a wide variety of events,
such as a user clicking on a link, without the need to clutter the HTML code itself with
event handlers.
 AJAX Support: The jQuery helps you a lot to develop a responsive and feature-rich
site using AJAX technology.
 Animations: The jQuery comes with plenty of built-in animation effects which you can
use in your websites.",Web development
"AJAX, one of the hottest technology combinations to enter the Web development landscape 
in years, has fueled a surge in interactive Web design with 
its ability to load new content into an existing DOM structure.
jQuery simplifies using AJAX with several shorthand methods 
for the basic AJAX methods. For most developers and designers, 
these shorthand methods will be all that they ever need to use. 
The jQuery AJAX shorthand methods post, get, and load are 
featured in this chapter. jQuery also provides a robust feature set, 
including callbacks, for developers who want to customize their 
AJAX calls to provide richer interactive experiences. I’ll show you 
how to use several of jQuery’s AJAX features to enhance Web sites 
and applications. Let’s start by completing the form validation 
that you started in Chapter",Web development
"JavaScript Meets HTML with the DOM
Although this discussion is about JavaScript and its evolution, it’s the DOM (which has evolved
immensely from its early days) that takes center stage in the browser. Netscape, back in version 2 when JavaScript was invented, enabled you to access form and image elements. When
IE version 3 was released, it mimicked how Netscape did things to compete and not have
pages appear broken.
As the version 4 browsers were released, both browsers tried to expand their capabilities
by enabling ways to interact with more of the page; in particular, to position and move elements around the page. Each browser approached things in different and proprietary ways,
causing plenty of headaches.
The W3C developed its first DOM recommendation as a way to standardize the
approach that all browsers took, making it easier for developers to create functionality that
worked across all browsers—just like the HTML recommendations. The W3C DOM offered
the hope of interactivity with the full HTML (and XML) documents with the capability to add
and remove elements via JavaScript. The DOM Level 1 recommendation is fairly well supported across Mozilla and IE 5+. 
The W3C has subsequently come out with versions 2 and 3 of the DOM recommendations, which continue to build on the functionality defined in level 1. (Differences between the
DOM versions are covered in Chapter 2.)",Web development
"JavaScript frameworks have arisen as necessary and useful companions for client-side web development. Without JavaScript frameworks, client-side programming becomes a crater-filled minefield of cross-browser, cross-platform inconsistencies and idiosyncrasies. JavaScript frameworks pave over those craters and inconsistencies to create a seamless, enjoyable client-side programming experience. The most important hole filled by a JavaScript framework is inconsistencies between Internet Explorer’s and the W3C’s standard Event APIs. jQuery fills in this hole by making a cross-browser Event API that is very similar to the W3C’s, adding some original helpful extensions of its own. Another hole filled by most of the popular client-side JavaScript frameworks is the ability to select and traverse through nodes in the Document Object Model (DOM) using more than the very remedial selection and traversal APIs that are provided by browsers’ default DOM implementations. jQuery provides a selection mechanism that uses selector syntax like that used in cascading style sheets. However, not content to support only the standard selectors supported in CSS and even the new Selectors API implementations supported by WebKit and Internet Explorer 8, jQuery again extends the standard to support new, innovative, and useful selectors that make sense when using selectors to select DOM nodes. In a nutshell, jQuery reduces significantly the amount of JavaScript programming and Q/A (quality assurance) you have to undertake. It takes what might take several lines of code to write, and more often than not reduces that to just one or a few lines of code. jQuery makes your JavaScript more intuitive and easier to understand. jQuery takes JavaScript programming (which at one time had a higher barrier of entry due to complexity and cross-browser, cross-platform idiosyncrasies) and makes it easier and more attractive to average web developers",Web development
"What Does jQuery Do for Me?
jQuery makes many tasks easier. Its simplistic, comprehensive API has the ability to completely change 
the way you write JavaScript, with the aim of consolidating and eliminating as many common and 
redundant tasks as possible. jQuery really shines in the following areas:
jQuery makes iterating and traversing the DOM much easier via its various built-in methods for 
doing the same.
jQuery makes selecting items from the DOM easier via its sophisticated, built-in ability to use 
selectors, just like you would use in CSS.
jQuery makes it really easy to add your own custom methods via its simple-to-understand 
plug-in architecture. 
jQuery helps reduce redundancy in navigation and UI functionality, like tabs, CSS and markup based pop-up dialogues, animations, and transitions, and lots of other things.",Web development
"JavaScript is now part of an overall development methodology, which means that you develop it not to interfere 
with other technologies like HTML or CSS, but to interact with them or complement them.
Web development has come quite a way since the 1990s, and there is not much sense in creating web sites that 
are static and fixed in size. Any modern web design should allow for growth as needed. It should also be accessible to 
everyone (which does not mean that everybody gets the same appearance—a nice multicolumn layout, for example, 
might make sense on a high-resolution monitor but is hard to use on a mobile phone or a tablet)—and ready for 
internationalization. You cannot afford any longer to build something and think it’ll last forever. Because the Web is 
about content and change, it’ll become obsolete if we don’t upgrade our web products constantly and allow other 
data sources to feed into it or get information from it",Web development
"Once we’ve got the set of wrapped elements that we either identified by using a 
selector to match existing DOM elements or created as new elements using HTML
snippets (or a combination of both), we’re ready to manipulate those elements 
using the powerful set of jQuery commands. We’ll start looking at those commands in the next chapter; but what if we’re not quite ready yet? What if we want 
to further refine the set of elements wrapped by the jQuery function?
 In this section, we’ll explore the many ways that we can refine, extend, or subset the set of wrapped elements that we wish to operate upon.",Web development
"Laravel is an MVC framework with bundles, migrations, and Artisan CLI. Laravel offers a robust 
set of tools and an application architecture that incorporates many of the best features of 
frameworks like CodeIgniter, Yii, ASP.NET MVC, Ruby on Rails, Sinatra, and others.
Laravel is an Open Source framework. It has a very rich set of features which will boost the 
speed of Web Development. If you familiar with Core PHP and Advanced PHP, Laravel will 
make your task easier. It will save a lot time if you are planning to develop a website from 
scratch. Not only that, the website built in Laravel is also secure. It prevents the various 
attacks that can take place on websites.
Laravel–Features
Laravel offers the following key features:
Modularity
Testability
Routing
Configuration management
Query builder and ORM (Object Relational Mapper)
Schema builder, migrations, and seeding
Template engine
E-mailing
Authentication
Redis
Queues
Event and command bus",Web development
"Assembly language is a low-level programming language for a computer, or other 
programmable device specific to a particular computer architecture in contrast to most highlevel programming languages, which are generally portable across multiple systems. 
Assembly language is converted into executable machine code by a utility program referred to 
as an assembler like NASM, MASM etc",Assembly Language
"Assembly Language Programming as a Board Game
Now that you're thinking in terms of board games, take a look at Figure 0.2. What I've 
drawn is actually a fair approximation of assembly language as it was used on some of 
our simpler microprocessors about ten or twelve years ago. The PROGRAM 
INSTRUCTIONS column is the main path around the edge of the board, of which only a 
portion can be shown here. This is the assembly language computer program, the actual 
series of steps and tests that, when executed, causes the computer to do something useful. 
Setting up this series of program instructions is what programming in assembly language 
actually is.
Everything else is odds and ends in the middle of the board that serve the game in 
progress",Assembly Language
"The Central Processing Unit6
 (CPU) is typically referred to as the “brains” of the
computer since that is where the actual calculations are performed. The CPU is housed
in a single chip, sometimes called a processor, chip, or die7
. The cover image shows one
such CPU.
The CPU chip includes a number of functional units, including the Arithmetic Logic
Unit8
 (ALU) which is the part of the chip that actually performs the arithmetic and
logical calculations. In order to support the ALU, processor registers9
 and cache10
memory are also included “on the die” (term for inside the chip). The CPU registers and
cache memory are described in subsequent sections.
It should be noted that the internal design of a modern processor is quite complex. This
section provides a very simplified, high-level view of some key functional units within a
CPU. Refer to the footnotes or additional references for more information",Assembly Language
"Modern X86 Assembly Language Programming
Modern X86 Assembly Language Programming is an edifying text on the subject of x86 
assembly language programming. Its primary purpose is to teach you how to code 
functions using x86 assembly language that can be invoked from a high-level language. 
The book includes informative material that explains the internal architecture of an x86 
processor as viewed from the perspective of an application program. It also contains 
an abundance of sample code that is structured to help you quickly understand x86 
assembly language programming and the computational resources of the x86 platform",Assembly Language
"Thus far, you’ve seen a couple of HLA programs that will actually compile 
and run. However, all the statements appearing in programs to this point 
have been either data declarations or calls to HLA Standard Library routines. 
There hasn’t been any real assembly language. Before we can progress any 
further and learn some real assembly language, a detour is necessary; unless 
you understand the basic structure of the Intel 80x86 CPU family, the 
machine instructions will make little sense. 
The Intel CPU family is generally classified as a Von Neumann Architecture 
Machine. Von Neumann computer systems contain three main building blocks: 
the central processing unit (CPU), memory, and input/output (I/0) devices. These 
three components are interconnected using the system bus (consisting of the 
address, data, and control buses). The block diagram in Figure 1-4 shows this 
relationship. 
The CPU communicates with memory and I/O devices by placing a 
numeric value on the address bus to select one of the memory locations or 
I/O device port locations, each of which has a unique binary numeric address. 
Then the CPU, memory, and I/O devices pass data among themselves by 
placing the data on the data bus. The control bus contains signals that 
determine the direction of the data transfer (to/from memory and to/from 
an I/O device)",Assembly Language
"In a high level language (HLL), one line of code 
usually translates to 2, 3 or more machine 
instructions 
Some statements may translate to hundreds or thousands of 
machine instructions
In Assembly Language (AL), one line of code 
translates to one machine instruction 
AL is a ""human readable"" form of machine language
HLLs are designed to be ""machine-independent""
But machine dependencies are almost impossible to eliminate
ALs are NOT machine-independent
Each different machine (processor) has a different machine 
language
Any particular machine can have more than one assembly 
language",Assembly Language
"C was initially used for system development work, in particular the programs that make up 
the operating system. C was adopted as a system development language because it 
produces code that runs nearly as fast as code written in assembly language. Some 
examples of the use of C might be:
Operating Systems
Language Compilers
Assemblers
Text Editors
Print Spoolers
Network Drivers
Modern Programs
Databases
Language Interpreters
Utilities",Programming
"eb development is generally messy business.You have to contend with browser incompatibilities, rogue bots, bandwidth and server limitations,and an overall architecture that
seems to defy thorough testing.
Of course, we believe our book is an excellent introduction to the basics of Django,
but we also aim to address many of those messy spots—the 20 percent of your work that
can take 80 percent of your time.We’ve worked with, listened to,and helped many developers using Django and have kept their questions and challenges in mind while writing
this book.
If we didn’t think that Django and Python were great, we wouldn’t have gone to the
trouble of writing a whole book about them. But when there are limitations you should
know about or sharp edges you should watch out for, we’ll tell you. Our goal is to help
you get things don",Web development
"Django’s History
Before we dive into more code, we should take a moment to explain Django’s history. It’s helpful to
understand why the framework was created, because a knowledge of the history will put into context why
Django works the way it does.
If you’ve been building Web applications for a while, you’re probably familiar with the problems in the CGI
example we presented earlier. The classic Web developer’s path goes something like this:
Write a Web application from scratch.
Write another Web application from scratch.
Realize the application from step 1 shares much in common with the application from step 2.
Refactor the code so that application 1 shares code with application 2.
Repeat steps 2-4 several times.",Web development
"Data visualization makes it easier and faster to make meaningful analysis on the
data. In many cases it’s one of the first steps when performing a data analysis.
You access and process the data and then start visualizing it for quick insights",Data science
"First, Supervised Learning is a lot similar to learning from examples. For
instance, we have a huge collection of images correctly labeled as either dogs or
cats. Our computer will then learn from those given examples and correct labels.
Perhaps our computer will find patterns and similarities among those images.
And finally when we introduce new images, our computer and model will
successfully identify an image whether there’s a dog or cat in it.
It’s a lot like learning with supervision. There are correct answers (e.g. cats or
dogs) and it’s the job of our model to align itself so on new data it can still
produce correct answers (in an acceptable performance level because it’s hard to
reach 100%).
For example, Linear Regression is considered under Supervised Learning.
Remember that in linear regression we’re trying to predict the value of y for a
given x. But first, we have to find patterns and “fit” a line that best describes the
relationship between x and y (and predict y values for new x inputs).",machine learning
"In contrast, Unsupervised Learning means there’s no supervision or guidance.
It’s often thought of as having no correct answers, just acceptable ones.
For example, in Clustering (this falls under Unsupervised Learning) we’re trying
to discover where data points aggregate (e.g. are there natural clusters?). Each
data point is not labeled anything so our model and computer won’t be learning
from examples. Instead, our computer is learning to identify patterns without any
external guidance.
This seems to be the essence of true Artificial Intelligence wherein the computer
can learn without human intervention. It’s about learning from the data itself and
trying to find the relationship between different inputs (notice there’s no
expected output here in contrast to Regression and Classification discussed
earlier). The focus is on inputs and trying to find the patterns and relationships
among them. Perhaps there are natural clusters or there are clear associations
among the inputs. It’s also possible that there’s no useful relationship at all.",Machine learning
"Simple Linear Regression
Here we’ll be dealing with one independent variable and one dependent. Later
on we’ll be dealing with multiple variables and show how can they be used to
predict the target (similar to what we talked about predicting something based on
several features/attributes)",machine learning
" Classification
Spam or not spam? This is one of the most popular uses and examples of
Classification. Just like Regression, Classification is also under Supervised
Learning. Our model learns from labelled data (“with supervision”). Then, our
system applies that learning to new dataset.
For example, we have a dataset with different email messages and each one was
labelled either Spam or Not Spam. Our model might then find patterns or
commonalities among email messages that are marked Spam. When performing
a prediction, our model might try to find those patterns and commonalities in
new email messages.
There are different approaches in doing successful Classification. Let’s discuss a
few of them:
Logistic Regression
In many Classification tasks, the goal is to determine whether it’s 0 or 1 using
two independent variables. For example, given that the Age and Estimated
Salary determine an outcome such as when the person purchased or not, how can
we successfully create a model that shows their relationships and use that for
prediction",machine learning
"K-Nearest Neighbors
Notice that Logistic Regression seems to have a linear boundary between 0s and
1s. As a result, it misses a few of the data points that should have been on the
other side.
Thankfully, there are non-linear models that can capture more data points in a
more accurate manner. One of them is through the use of K-Nearest Neighbors.
It works by having a “new data point” and then counting how many neighbors
belong to either category. If more neighbors belong to category A than category
B, then the new point should belong to category A.",machine learning
"Decision Tree Classification
As with Regression, many data scientists also implement Decision Trees in
Classification. As mentioned in the previous chapter, creating a decision tree is
about breaking down a dataset into smaller and smaller subsets while branching
them out (creating an associated decision tree).",machine learning
"Taxonomy of machine learning 
algorithms
The purpose of machine learning is to teach computers to execute tasks without 
human intervention. An increasing number of applications such as genomics, social 
networking, advertising, or risk analysis generate a very large amount of data that 
can be analyzed or mined to extract knowledge or provide insight into a process, 
a customer, or an organization. Ultimately, machine learning algorithms consist 
of identifying and validating models to optimize a performance criterion using 
historical, present, and future data",machine learning
"Clustering
The purpose of data clustering is to partition a collection of data into a number of 
clusters or data segments. Practically, a clustering algorithm is used to organize 
observations into clusters by minimizing the observations within a cluster and 
maximizing the observations between clusters. A clustering algorithm consists 
of the following steps:
1. Creating a model by making an assumption on the input data.
2. Selecting the objective function or goal of the clustering.
3. Evaluating one or more algorithms to optimize the objective function.
Data clustering is also known as data segmentation or data partitioning",machine learning
"Dimension reduction
Dimension reduction techniques aim at finding the smallest but most relevant set 
of features that models dataset reliability. There are many reasons for reducing the 
number of features or parameters in a model, from avoiding overfitting to reducing 
computation costs.
There are many ways to classify the different techniques used to extract knowledge 
from data using unsupervised learning. The following taxonomy breaks down these 
techniques according to their purpose, although the list is far for being exhaustive, as 
shown in the following diagram:",machine learning
"Rogue certificates are valid certificates issued by a legitimate certificate authority (CA) that are nonetheless
untrustworthy; yet trusted by web browsers and users. With the current public key infrastructure, there
exists a window of vulnerability between the time a rogue certificate is issued and when it is detected. Rogue
certificates from recent compromises have been trusted for as long as weeks before detection and revocation.
Previous proposals to close this window of vulnerability require changes in the infrastructure, Internet
protocols, or end user experience. We present a method for detecting rogue certificates from trusted CAs
developed from a large and timely collection of certificates. This method automates classification by building
machine-learning models with Deep Neural Networks (DNN). Despite the scarcity of rogue instances in
the dataset, DNN produced a classification method that is proven both in simulation and in the July 2014
compromise of the India CCA. We report the details of the classification method and illustrate that it is
repeatable, such as with datasets obtained from crawling. We describe the classification performance under
our current research deployment",deep learning
"This book is an advanced book on React but we wanted to provide a primer on the 
basics so that this book could be both comprehensive and accessible. We will not 
spend a lot of time on all of the subtleties of each technique that we will look at here. 
We will instead look at concise samples that illustrate the tools and techniques that 
we are covering. We will also have links to where you can easily access and run the 
code samples as you follow along.
In this chapter, we will be covering the following concepts:
About the code samples
Hello World sample in React
JSX
props
state",Web development
"For the examples in this book, we'll use a particular programming language,
called Python. I chose Python for several reasons. It's a language that's in
common use today for producing many different kinds of software. It's
available for most computers that you're likely to use. And it's a clean and
well-designed language: for the most part, the way you express things in Python
is straightforward, with a minimum of extraneous words and punctuation. I
think you're going to enjoy using Python",Programming
"SQLite3 can be integrated with Python using sqlite3 module, which was written by Gerhard 
Haring. It provides an SQL interface compliant with the DB-API 2.0 specification described 
by PEP 249. You do not need to install this module separately because it is shipped by 
default along with Python version 2.5.x onwards.
To use sqlite3 module, you must first create a connection object that represents the 
database and then optionally you can create a cursor object, which will help you in 
executing all the SQL statements.
Python sqlite3 module APIs
Following are important sqlite3 module routines, which can suffice your requirement to 
work with SQLite database from your Python program. If you are looking for a more 
sophisticated application, then you can look into Python sqlite3 module's official 
documentation",Web development
"Sometime you want to know how a Django ORM makes our queries execute or what is the corresponding SQL of the
code you are writing. This is very strightforward. Youn can get str of any queryset.query to get the sql.
You have a model called Event. For getting all records, you will write something like Event.objects.all(),
then do str(queryset.query)",Web development
"In this chapter, I will show you good practices when starting a new project with Django 1.6 
on Python 2.7. Some of the tricks introduced here are the best ways to deal with the project 
layout, settings, or configuration. However, for some of the tricks, you might find some 
alternatives online. So, feel free to evaluate and choose the best bits and pieces for yourself 
while digging deep into the Django world.
I am assuming that you are already familiar with the basics of Django, Subversion or Git 
version control, MySQL or PostgreSQL databases, and command-line usage. Also, I assume 
you are probably using a Unix-based operating system such as Mac OS X or Linux. It makes 
sense to develop with Django on Unix-based platforms because the websites will most likely 
be published on a Linux Server later, so you can establish routines that work the same while 
developing as while deploying. If you are working with Django locally on Windows, the routines 
are similar, but not always exactly the same",Web development
"This chapter describes the fundamental characteristics of the objectoriented C++ programming language. In addition, you will be introduced
to the steps necessary for creating a fully functional C++ program.The
examples provided will help you retrace these steps and also
demonstrate the basic structure of a C++ program.",Programming
"What is Django?
Django is a free open-source web framework, written in Python, which follows the model-view-template(MVT)
architectural pattern. It is maintained by Django Software Foundation(DSF). Django’s primary goal is to ease
the creation of complex, database-driven websites.
Django is a high-level Python Web framework that encourages rapid development and clean, pragmatic design.
Built by experienced developers, it takes care of much of the hassle of Web development, so you can focus on
writing your app without needing to reinvent the wheel.",Web development
